date	type	station_train_code	train_no
2022-08-17	D	D27(天津西-哈尔滨西)	2500000D2703
2022-08-17	D	D28(哈尔滨西-天津西)	0h00000D280R
2022-08-17	D	D56(乌鲁木齐-张掖西)	9300000D5620
2022-08-17	D	D083(海口-三亚)	6b0000D08300
2022-08-17	D	D111(延吉西-齐齐哈尔南)	1c0000D11420
2022-08-17	D	D112(齐齐哈尔南-珲春)	040000D1120L
2022-08-17	D	D113(齐齐哈尔南-珲春)	040000D1120L
2022-08-17	D	D114(延吉西-齐齐哈尔南)	1c0000D11420
2022-08-17	D	D115(延吉西-哈尔滨西)	1c0000D11807
2022-08-17	D	D116(哈尔滨西-延吉西)	0h0000D11608
2022-08-17	D	D117(哈尔滨西-延吉西)	0h0000D11608
2022-08-17	D	D118(延吉西-哈尔滨西)	1c0000D11807
2022-08-17	D	D119(长春-牡丹江)	110000D11903
2022-08-17	D	D120(牡丹江-长春)	030000D12006
2022-08-17	D	D121(长春-佳木斯)	110000D12105
2022-08-17	D	D122(佳木斯-长春)	020000D12204
2022-08-17	D	D123(吉林-哈尔滨西)	180000D12602
2022-08-17	D	D124(哈尔滨西-吉林)	0h0000D12404
2022-08-17	D	D125(哈尔滨西-吉林)	0h0000D12404
2022-08-17	D	D126(吉林-哈尔滨西)	180000D12602
2022-08-17	D	D127(吉林-齐齐哈尔南)	180000D13006
2022-08-17	D	D128(齐齐哈尔南-吉林)	040000D12804
2022-08-17	D	D129(齐齐哈尔南-吉林)	040000D12804
2022-08-17	D	D130(吉林-齐齐哈尔南)	180000D13006
2022-08-17	D	D151(长白山-齐齐哈尔南)	180000D15102
2022-08-17	D	D152(齐齐哈尔南-长白山)	040000D15200
2022-08-17	D	D153(齐齐哈尔南-长白山)	040000D15200
2022-08-17	D	D154(长白山-齐齐哈尔南)	180000D15102
2022-08-17	D	D201(南宁东-广州南)	710000D20104
2022-08-17	D	D202(广州南-南宁东)	6c0000D20207
2022-08-17	D	D203(南宁东-广州南)	710000D20305
2022-08-17	D	D204(广州南-南宁东)	6c0000D20406
2022-08-17	D	D205(南宁东-广州南)	710000D20504
2022-08-17	D	D206(广州南-南宁东)	6c0000D20605
2022-08-17	D	D207(南宁东-广州南)	710000D20706
2022-08-17	D	D208(广州南-南宁东)	6c0000D20804
2022-08-17	D	D211(贵阳北-广州南)	780000D21105
2022-08-17	D	D212(广州南-贵阳北)	6c0000D21208
2022-08-17	D	D213(贵阳北-广州南)	780000D21303
2022-08-17	D	D214(广州南-贵阳北)	6c0000D21403
2022-08-17	D	D221(南宁东-广州南)	710000D22100
2022-08-17	D	D222(广州南-南宁东)	6c0000D22200
2022-08-17	D	D223(南宁东-广州南)	710000D22300
2022-08-17	D	D224(广州南-南宁东)	6c0000D22400
2022-08-17	D	D225(南宁东-广州南)	710000D22500
2022-08-17	D	D226(广州南-南宁东)	6c0000D22600
2022-08-17	D	D227(南宁东-广州南)	710000D22700
2022-08-17	D	D228(广州南-南宁东)	6c0000D22800
2022-08-17	D	D315(太原南-郑州东)	270000D31502
2022-08-17	D	D316(郑州东-太原南)	380000D31702
2022-08-17	D	D317(郑州东-太原南)	380000D31702
2022-08-17	D	D318(太原南-郑州东)	270000D31502
2022-08-17	D	D351(成都东-上海虹桥)	760000D3540A
2022-08-17	D	D352(上海虹桥-成都东)	5l0000D35203
2022-08-17	D	D353(上海虹桥-成都东)	5l0000D35203
2022-08-17	D	D354(成都东-上海虹桥)	760000D3540A
2022-08-17	D	D361(汉口-成都东)	390000D36106
2022-08-17	D	D362(成都东-汉口)	760000D36203
2022-08-17	D	D365(成都东-武汉)	760000D3680C
2022-08-17	D	D366(武汉-成都东)	4e0000D3660N
2022-08-17	D	D367(武汉-成都东)	4e0000D3660N
2022-08-17	D	D368(成都东-武汉)	760000D3680C
